Caso                Mejor coste
GKD-b_1_n25_m2      0
GKD-b_2_n25_m2      0
GKD-b_3_n25_m2      0
GKD-b_4_n25_m2      0
GKD-b_5_n25_m2      0
GKD-b_6_n25_m7      12.7179599999997
GKD-b_7_n25_m7      14.0987499999997
GKD-b_8_n25_m7      16.7611899999998
GKD-b_9_n25_m7      17.0692099999999
GKD-b_10_n25_m7     23.26523
GKD-b_11_n50_m5     1.92610000000002
GKD-b_12_n50_m5     2.12104000000011
GKD-b_13_n50_m5     2.36230999999998
GKD-b_14_n50_m5     1.6631999999999
GKD-b_15_n50_m5     2.85312999999996
GKD-b_16_n50_m15    42.7457799999991
GKD-b_17_n50_m15    48.1076099999996
GKD-b_18_n50_m15    43.1960899999997
GKD-b_19_n50_m15    46.4124499999994
GKD-b_20_n50_m15    47.7151099999996
GKD-b_21_n100_m10   13.8320199999999
GKD-b_22_n100_m10   13.6643400000003
GKD-b_23_n100_m10   15.3453799999998
GKD-b_24_n100_m10   8.64063999999939
GKD-b_25_n100_m10   17.20051
GKD-b_26_n100_m30   168.729590000001
GKD-b_27_n100_m30   127.09726
GKD-b_28_n100_m30   106.37919
GKD-b_29_n100_m30   137.45316
GKD-b_30_n100_m30   127.47974
GKD-b_31_n125_m12   11.7451399999999
GKD-b_32_n125_m12   18.78893
GKD-b_33_n125_m12   18.5315999999998
GKD-b_34_n125_m12   19.4883300000001
GKD-b_35_n125_m12   18.1124199999998
GKD-b_36_n125_m37   155.43477
GKD-b_37_n125_m37   198.89462
GKD-b_38_n125_m37   187.96703
GKD-b_39_n125_m37   168.5902
GKD-b_40_n125_m37   178.19374
GKD-b_41_n150_m15   23.34608
GKD-b_42_n150_m15   26.7895
GKD-b_43_n150_m15   26.75447
GKD-b_44_n150_m15   25.93559
GKD-b_45_n150_m15   27.77301
GKD-b_46_n150_m45   227.74931
GKD-b_47_n150_m45   228.6029
GKD-b_48_n150_m45   226.74534
GKD-b_49_n150_m45   226.40961
GKD-b_50_n150_m45   248.85662
